image_path,canonical_image_path,file_page,book_page,primary_topic_folder,llm_recognized_group,source_description,rest_fact_concepts,suggested_exercise_ids
public/science-yoga-book/group-full-body/swanson-file-p014-book-p012-skeletal-system-overview-bones-bone-structure-skeleton-map.jpg,public/science-yoga-book/_all_pages/swanson-file-p014-book-p012-skeletal-system-overview-bones-bone-structure-skeleton-map.jpg,14,12,skeletal-system,full-body,"Skeletal system overview: bones, bone structure, skeleton map",bones provide structure and leverage | bone tissue remodels with load | joint position affects force production,
public/science-yoga-book/group-skeletal-system/swanson-file-p014-book-p012-skeletal-system-overview-bones-bone-structure-skeleton-map.jpg,public/science-yoga-book/_all_pages/swanson-file-p014-book-p012-skeletal-system-overview-bones-bone-structure-skeleton-map.jpg,14,12,skeletal-system,skeletal-system,"Skeletal system overview: bones, bone structure, skeleton map",bones provide structure and leverage | bone tissue remodels with load | joint position affects force production,
public/science-yoga-book/group-bones/swanson-file-p014-book-p012-skeletal-system-overview-bones-bone-structure-skeleton-map.jpg,public/science-yoga-book/_all_pages/swanson-file-p014-book-p012-skeletal-system-overview-bones-bone-structure-skeleton-map.jpg,14,12,skeletal-system,bones,"Skeletal system overview: bones, bone structure, skeleton map",bones provide structure and leverage | bone tissue remodels with load | joint position affects force production,
public/science-yoga-book/group-posture/swanson-file-p014-book-p012-skeletal-system-overview-bones-bone-structure-skeleton-map.jpg,public/science-yoga-book/_all_pages/swanson-file-p014-book-p012-skeletal-system-overview-bones-bone-structure-skeleton-map.jpg,14,12,skeletal-system,posture,"Skeletal system overview: bones, bone structure, skeleton map",bones provide structure and leverage | bone tissue remodels with load | joint position affects force production,
public/science-yoga-book/group-full-body/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,public/science-yoga-book/_all_pages/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,15,13,skeletal-system,full-body,"Posterior skeleton, cartilage, ligaments",ligaments stabilize joints | cartilage reduces friction | posterior landmarks help map exercise positions,
public/science-yoga-book/group-skeletal-system/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,public/science-yoga-book/_all_pages/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,15,13,skeletal-system,skeletal-system,"Posterior skeleton, cartilage, ligaments",ligaments stabilize joints | cartilage reduces friction | posterior landmarks help map exercise positions,
public/science-yoga-book/group-ligaments/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,public/science-yoga-book/_all_pages/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,15,13,skeletal-system,ligaments,"Posterior skeleton, cartilage, ligaments",ligaments stabilize joints | cartilage reduces friction | posterior landmarks help map exercise positions,
public/science-yoga-book/group-shoulders/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,public/science-yoga-book/_all_pages/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,15,13,skeletal-system,shoulders,"Posterior skeleton, cartilage, ligaments",ligaments stabilize joints | cartilage reduces friction | posterior landmarks help map exercise positions,"shoulder-press,lateral-raise,reverse-fly"
public/science-yoga-book/group-hips/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,public/science-yoga-book/_all_pages/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,15,13,skeletal-system,hips,"Posterior skeleton, cartilage, ligaments",ligaments stabilize joints | cartilage reduces friction | posterior landmarks help map exercise positions,"hip-thrust,rdl,back-squat,hip-abduction,hip-adduction"
public/science-yoga-book/group-knees/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,public/science-yoga-book/_all_pages/swanson-file-p015-book-p013-posterior-skeleton-cartilage-ligaments.jpg,15,13,skeletal-system,knees,"Posterior skeleton, cartilage, ligaments",ligaments stabilize joints | cartilage reduces friction | posterior landmarks help map exercise positions,"leg-extension,hamstring-curl,leg-press,back-squat"
public/science-yoga-book/group-spine/swanson-file-p016-book-p014-spine-curves-and-vertebrae.jpg,public/science-yoga-book/_all_pages/swanson-file-p016-book-p014-spine-curves-and-vertebrae.jpg,16,14,spine-core,spine,Spine curves and vertebrae,"neutral spine is a natural curve, not flat | cervical thoracic and lumbar regions differ | bracing protects spinal position under load","rdl,back-squat,leg-press,back-extension"
public/science-yoga-book/group-back/swanson-file-p016-book-p014-spine-curves-and-vertebrae.jpg,public/science-yoga-book/_all_pages/swanson-file-p016-book-p014-spine-curves-and-vertebrae.jpg,16,14,spine-core,back,Spine curves and vertebrae,"neutral spine is a natural curve, not flat | cervical thoracic and lumbar regions differ | bracing protects spinal position under load","row,lat-pulldown,rdl,back-extension"
public/science-yoga-book/group-core/swanson-file-p016-book-p014-spine-curves-and-vertebrae.jpg,public/science-yoga-book/_all_pages/swanson-file-p016-book-p014-spine-curves-and-vertebrae.jpg,16,14,spine-core,core,Spine curves and vertebrae,"neutral spine is a natural curve, not flat | cervical thoracic and lumbar regions differ | bracing protects spinal position under load","ab-machine,plank,dead-bug,back-squat,rdl"
public/science-yoga-book/group-posture/swanson-file-p016-book-p014-spine-curves-and-vertebrae.jpg,public/science-yoga-book/_all_pages/swanson-file-p016-book-p014-spine-curves-and-vertebrae.jpg,16,14,spine-core,posture,Spine curves and vertebrae,"neutral spine is a natural curve, not flat | cervical thoracic and lumbar regions differ | bracing protects spinal position under load",
public/science-yoga-book/group-glutes/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,public/science-yoga-book/_all_pages/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,17,15,hips-pelvis,glutes,Pelvis structure and neutral pelvis,pelvic tilt changes hip mechanics | neutral pelvis affects squat and hinge positions | hip socket orientation influences range of motion,"hip-thrust,glute-bridge,donkey-kickback,back-squat,leg-press,bulgarian-split"
